T,Cp,S
0,0,
1300,57.130,
1310,57.202,
1320,57.272,
1330,57.342,
1340,57.410,
1350,57.477,
1360,57.543,
1370,57.609,
1380,57.673,
1390,57.736,
1400,57.798,
1410,57.860,
1420,57.920,
1430,57.980,
1440,58.039,
1450,58.097,
1460,58.154,
1470,58.210,
1480,58.265,
1490,58.320,
1500,58.374,
1510,58.427,
1520,58.479,
1530,58.531,
1540,58.582,
1550,58.632,
1560,58.682,
1570,58.731,
1580,58.779,
1590,58.826,
1600,58.873,
1610,58.920,
1620,58.965,
1630,59.010,
1640,59.055,
1650,59.099,
1660,59.142,
1670,59.185,
1680,59.227,
1690,59.269,
1700,59.310,
1710,59.350,
1720,59.390,
1730,59.430,
1740,59.469,
1750,59.508,
1760,59.546,
1770,59.583,
1780,59.621,
1790,59.657,
1800,59.693,
1810,59.729,
1820,59.765,
1830,59.800,
1840,59.834,
1850,59.868,
1860,59.902,
1870,59.935,
1880,59.968,
1890,60.001,
1900,60.033,
1910,60.065,
1920,60.096,
1930,60.127,
1940,60.158,
1950,60.188,
1960,60.218,
1970,60.248,
1980,60.277,
1990,60.306,
2000,60.335,